id,amount,contentIDs
sisn,92,"50,2459,3767,4772,6320,7517,7756,8150,8398,8752,8753,8754,8843,9343,9563,10180,10198,11805,12104,12285,13668,15114,17473,18204,18205,18206,18207,19741,20396,20766,22608,22848,23047,23249,23890,24644,35505,35816,43104,44796,47099,47833,50121,50953,52314,56222,56223,58460,68621,69487,69488,69777,69778,69779,70091,70534,70649,70687,71391,71518,71544,71730,72532,73140,73396,73397,73697,73698,73763,74300,74301,74971,74972,74973,74974,74975,74976,74977,74978,74979,75257,76564,76565,76566,76567,76568,76569,76570,76571,76572,76573,76574"
LiveInNow,92,"741,27373,27899,28041,28219,28220,34958,35277,35389,35407,36095,36175,36304,36446,36575,65859,66832,66904,67446,98009,98134,98135,98136,98137,98483,98612,99470,99516,99960,101091,101241,101281,101377,101447,101598,101676,101787,101972,101973,102135,102146,102154,121902,123029,123551,123553,123768,124188,124474,124475,124609,126394,126828,126829,126877,127648,127649,128106,128393,128886,128931,129115,129306,129427,130034,130170,130171,130992,149381,149399,149444,149866,149908,150025,150150,150395,150544,150611,150612,150613,150748,150876,150997,151105,151405,151503,151887,151901,154101,154200,154201,154371"
turnpoint,92,"11157,11676,12429,12492,12493,16425,16426,17320,17331,17345,17902,18185,18186,18506,21319,21523,21761,22412,41988,49769,49770,50856,51425,55729,69155,69156,69420,70168,70274,70653,73129,73130,73284,73285,73350,74024,74025,74382,74495,74525,74537,75562,75563,77419,77747,81062,81770,81839,81893,83444,91251,91455,94136,94933,95343,95930,96604,96799,97938,97939,97987,103895,113911,113989,117104,118853,118854,118967,118968,124831,124832,124833,124834,124835,124977,124978,125078,125170,134305,134306,134307,134693,135192,141889,152802,162137,162230,162673,166095,166626,166627,166664"
qwas5789,92,"22832,22833,23485,24267,24356,25757,26643,43034,44761,58776,62451,62452,62453,62661,62823,62882,63927,63928,63929,63930,65018,65513,65551,85293,89224,121454,121585,121586,121587,121904,122561,122986,123537,123871,124114,124115,125953,129158,134030,134537,134814,135140,135480,137397,137961,142417,142884,148109,148308,148479,148716,148847,148861,151620,151741,152313,152433,152477,153004,154037,154220,154249,154295,155084,155388,155416,155643,155808,155842,155933,155988,156249,156334,156369,156990,157157,158657,159076,159208,159536,160008,160086,160220,160302,160322,160323,160324,160325,161477,162862,163947,165132"
CurryBryant,92,"79172,79232,79311,79332,79402,79501,79611,79659,79761,82190,83846,83847,83848,83849,84121,84388,85752,85854,85855,86214,86552,94366,95947,106271,106288,106396,106948,106949,106950,107111,107127,107128,107129,107130,107131,107984,109368,109369,109370,110195,110679,110818,111121,111258,111851,111930,112106,112376,112543,113078,113380,113710,114037,114267,114601,114776,114873,114995,115580,116117,118329,118931,119649,120749,122788,123313,124656,125404,125858,127148,127149,127150,127151,127152,130809,130810,136355,136356,136357,136358,136943,137681,138257,140987,141675,143000,143215,144804,146740,147386,148541,152093"
handfoxx,91,"134,4706,6287,6633,7460,9329,12296,13064,18782,21920,36144,38955,59066,64567,65137,65858,68454,68455,68456,69318,69319,70433,70581,70591,70602,70760,71257,71266,76047,83743,85765,86279,98515,98577,98629,98785,107274,108198,108433,109064,109837,110528,113108,114034,114046,114842,115205,116657,116725,117336,118138,118206,118390,119509,121923,122070,122117,129602,129603,130723,134294,134295,141362,143235,144197,147772,148230,148283,148444,148445,148587,148648,148826,148856,148875,149028,149088,149216,149438,149889,150046,151366,155380,157609,157735,159389,162863,164092,166640,167207,167404"
ccpsdfg0121,91,"675,30866,31164,31999,58266,59386,60287,60495,61574,62946,64043,64375,64632,74367,74830,74839,74876,75088,75413,75995,76090,79766,79799,80235,80707,80785,80931,81431,81642,82242,85377,85701,92123,92491,93277,94420,97698,97911,106895,113705,116619,117655,119719,119813,119814,120119,120154,120368,120369,120385,120400,121540,121644,124126,132509,132993,137510,137710,138156,140067,140182,140219,142756,149793,149828,151935,156379,156424,156500,158275,161422,161441,161518,161568,162390,165264,165408,165425,165716,166595,166899,166996,167235,167294,167321,167345,167373,167445,167446,167455,167485"
zerowingtw,91,"5961,7300,7755,7984,8419,9117,9978,10465,11191,11569,13139,14321,20158,20159,22554,23003,25243,25953,27718,28714,29711,39658,39960,39961,40660,41952,42558,42911,42912,42968,43966,43967,43968,45106,45289,45497,45712,47448,47449,48750,49097,49336,49562,49563,49622,49789,50591,50592,51119,51120,52451,52799,52957,52958,53169,54968,55433,56125,57129,58823,58927,58928,60227,61539,62900,66453,73199,73493,93836,94151,96329,99566,101445,102649,103051,103052,103053,120427,130578,131471,135924,138728,140423,140833,143430,151714,158972,159915,160476,163217,163784"
cooldogy1973,91,"22894,28800,31434,49462,53182,53293,54164,54704,55257,55677,60411,73575,76307,76731,76901,76902,76946,99393,99394,99421,99700,99856,99874,100070,101011,101546,102442,102452,103112,103251,123613,124194,124204,124224,124252,124253,124273,124288,124323,124336,124383,124402,124427,124589,124818,124951,124997,124998,125023,125081,125158,125267,126196,126215,126216,126227,126259,131514,140051,140990,142116,142887,143060,143175,143267,143936,145489,145528,146325,146823,146888,151983,152042,152235,154739,154845,154846,154870,155847,155890,155936,156362,156445,156545,156917,157537,157597,157621,158058,158075,167181"
photoshadow,91,"79157,79500,79507,80191,80192,80294,88549,90978,91110,91111,91844,92397,93722,93723,93724,93725,94229,95178,95238,95416,95942,95943,96098,96551,96933,97050,97051,97052,97053,99588,99589,99590,99910,99988,100157,101134,101135,101876,102251,102252,102500,102873,103105,103487,104685,104686,104687,105034,105752,109848,109849,109850,110072,110192,111595,114754,121915,122958,123619,123620,123621,123926,125924,129857,129858,130924,130925,131515,132354,133467,136403,138012,140159,141671,144352,144560,144937,146097,150567,151388,156493,158004,158700,158757,161319,162522,163749,165651,166305,166661,167269"
googlo,90,"1093,1306,1643,2924,3095,3424,3879,4361,4455,4478,4579,4623,5038,5963,6477,6572,6883,7688,7799,7907,8214,8257,8394,8517,8549,8622,8661,8716,9229,9302,11500,17031,17032,17570,18495,18508,18755,19630,19889,20604,23060,23981,32671,35486,39171,39536,42250,45028,45624,47688,51366,51992,52144,52559,52941,53278,54009,57089,57394,60282,62626,62627,64146,64179,64259,64279,64371,64565,64593,64889,65041,65142,67568,67690,69142,70076,70145,78731,80233,81679,89724,91350,99544,102092,103232,119285,119689,135629,135858,136636"
phHAR,90,"4095,6288,7663,7860,8916,9073,9856,13940,14149,14539,14540,21452,24242,26611,26970,28974,46837,48297,48757,49515,49864,51721,52008,53003,73159,73205,73232,73779,74076,74663,74887,75245,77709,83323,83723,84633,84869,89974,91240,97965,100617,101476,104419,105313,117553,122776,123009,123955,125745,133645,136175,136900,136995,137450,137632,138064,139090,139452,140757,140972,141508,144332,144826,150629,154580,154581,154582,155958,156156,156600,157452,157551,157708,157923,158071,158170,158240,158241,158242,158264,158265,158512,159044,159045,160533,160534,160535,160536,161128,161129"
azure,90,"47508,58577,62639,62704,62705,64540,65288,65401,65848,67217,68829,69054,70598,73564,77602,86343,86743,88900,94894,95703,95902,96037,96639,96821,106743,107444,107815,108500,109160,110873,111160,111367,112185,113504,113709,115358,116039,116119,116421,116512,117739,118630,120526,120624,123453,126908,127508,127638,127639,127640,128189,128589,128590,128982,129446,129447,148017,148354,149168,149184,149370,149501,149502,149542,149726,150092,150863,151658,151700,152500,152607,152621,152712,153215,153250,153278,153984,154072,155562,162898,164241,164668,164965,165439,165497,165636,166052,166146,166217,166659"
op1984,9,"76,43379,44878,49024,49488,49906,50117,75675,79562"
tumusi,9,"241,121840,121841,121842,146400,146649,147849,165869,167225"
GATSBYsolid,9,"259,41559,52883,54106,58733,60045,60422,63772,81390"
ImHoluCan,9,"272,4053,20751,20796,32347,32719,33113,33114,33486"
