num,id,content
num,id,content
300,chao0210,死禿頭也來玩加分廢文？
301,steven0503,無聊
302,danielww,https://youtu.be/ZDrMliX2s9I?t=29鬧笑話 讓我們繼續看下去https://i.imgur.com/HtAVDH7.jpg
303,danielww,演很大 讓我們繼續看下去 ~~
304,abbjesper,史上最會撈錢的草包
305,arck,草包無誤
306,DreamYeh,色情照片是你自己人弄得= =
307,justice2008,台商無息貸款7000億也是有投資啊= =小英都要征服宇宙了 你幹嘛這樣= =
308,tchialen,資金回流甘我屁事 說不過就亂扯明明這裡討論A 馬上拉B救援
309,imkoalatw,好了啦，國台辦都放棄了
310,sakula0616,新北市長表示有破千億投資
311,sakula0616,侯友宜完全把你打臉
312,anper,不知道哩工蝦？你很韓國瑜耶邏輯韓國瑜，文章韓國瑜，全身上下韓國瑜無一不散發韓國瑜的味道
313,tomchow76,韓粉的邏輯  都這麼好笑嗎XDDD
314,fday,蟑螂幫噓感謝
315,gzliu,蟑螂幫噓感謝
316,icps,
317,eeveelugia2,挺韓真可憐
318,otto6205,你是大水庫理論的信徒吧
319,tofukingkion,喔，繼續活在你的世界，侯市長你要不要批一下
320,to1322,如果蔡英文跟當時馬英九一樣標準，一直換法官換到自己想要的，利用東廠特偵組教唆辜仲諒做偽證，一直玩羈押這種方式，馬早就關到漏尿了
321,conanhide,你韓粉？
322,r250fx,有同感，支票小英也不惶多讓啊～
323,auk9,兩個私人企業要政府出資 也是騙子才說的出口吧
324,bear701107,這ID不意外啊呵呵
325,CenaC,整個版能戰的dpper這麼少?  出來辯護啊bear701107: 這ID不意外啊呵呵   你就這樣?你也不意外啊  沒料就只能罐頭推文
326,brepus,陳我挺不下去阿 呂孫綾dpper挺得下嗎？你拿排名不同的不分區來比用意在哪?難道dpper的第四名有比黃國昌好
327,brepus,我又不是淡水人 原來你挺的下呂孫綾阿https://i.imgur.com/KPHb9BO.jpgdpper有因為第四名比別人差 去挺時代嗎？沒有的話 笑台民黨 自己也沒做到阿 笑死
328,brepus,蔡英文無腦捧跟推薦呂孫綾 怎不見dpper反彈。
329,brepus,偏偏有兩黨支持者罵台民 又跑去投藍綠阿
330,abram,柯p最強的武器 是包容
331,peterw,慢點，現在不是民眾黨在跟時力比嗎？關DPP啥事？DPP和KMT有多爛大家都知道了啊
332,peterw,工三小？不是時力第四比民眾第四？或是民眾黨第五比時力第五嗎？要改跟DPP比你要先講啊
333,pr1nK2bAi,噁心嘔嘔嘔嘔
334,ybz612,關我屁事
335,js52666,嘔嘔
336,Dinenger,肥豬
337,scelerisque,五樓被四叉貓肛還被中出
338,andy02,看到5樓跟6樓在裡面
339,BlueBird5566,看到蘇貞昌在裡面
340,kenichisun,電梯內有攝影機，白癡什麼？
341,fday,黨意凌駕一切是在哈囉？
342,notea,阿北的新政治 懂?
343,F93935,當然是民進黨交出戰犯，謝俊州個人行為
344,stocktonty,就一群專反蔡政府的集合啊
345,peterw,超越藍綠的柯學你不懂啦
346,cttw19,過五趴取得下屆總統門票
347,bear701107,那這樣就跟當初時力是一堆反藍的集合一樣 只是當初時力人選不錯 TMD都收一些阿薩布魯的 現在還挺藍 不就小藍
348,greedypeople,其實台灣很早就有柔性政黨...新黨看看他們大概想像得到TMD未來
349,dslite,雞腸鳥肚黨
350,dslite,新政治粉又來比爛了到處蹭到處切真是好棒的新政治呢
351,rockyegg,那切割蟑螂超神速的民進黨是什麼政黨阿?
352,hoberg,政黨倘若還是以前的定義，那給國民兩黨繼續玩就好了，要翻轉現在的窘境，思維就要有所不同
353,alovesunsun,民眾黨就是爲柯p一人選總統的政黨，哪邊票比較好挖就往哪蹭
354,KEYSOLIDER,要阻止科批繼續亂台灣 就是投時力了只要台民一席都沒有就成功
355,Ornette,意義是在騙票啊，會投的都是智障認證
356,goldleft,有票就蹭 沒票翻臉 檳榔柯的新政治
357,threebig,tmd就是柯要拿總統門票而組的 體諒一下
358,fnb10803,亂七八糟的政黨
359,lastpost,新政治就是黨員想幹嘛就幹嘛
360,KBoy,現在是看我們神奇三角形看不起速不速
361,vincentkuo,組黨的意義只是為了讓柯選總統
362,oxoxx,投時力就好了啊，搞那麼複雜做什麼
363,no1361,國.民也4
364,sharkimage,https://i.imgur.com/wGyz4IY.jpg
365,crusaders811,很多人算了，但阿北好像看不懂，都怪陳菊韓國瑜落跑都是陳菊害的
366,Yehpin2823,TMD垃圾舔共黨意外嗎？柯韓一家親 一家都戲精
367,antilibra,"    專反蔡政府?   還有區域候選人""熱心支持者""掛跟蔡的P圖合照嘞價值  理念?   哪是啥?"
368,smisfun,切割啥？有像卡神一樣說不認識嗎？是在哈嘍？
369,fifi0828,柯主席也管不到黨員啦
370,jack14002,都被陳明義切割了 哈哈哈 UCCU謝俊州可悲 兩邊都被切
371,jun1981,就是為了cf 你還不知道 是在哈囉
372,aifighter,你得到他了
373,cruelgentle,https://i.imgur.com/TTf1PLe.jpg
374,cruelgentle,https://i.imgur.com/OJWRQsh.jpg
375,yoshiringo,我覺得韓國瑜會變成幹話王= =
